"Other effects of air pressure and water pressure, sequela",T708
"Legal intervention involving other blunt objects, law enforcement official injured, sequela",Y353
"Legal intervention involving other blunt objects, bystander injured, initial encounter",Y353
"Legal intervention involving other blunt objects, bystander injured, subsequent encounter",Y353
"Legal intervention involving other blunt objects, bystander injured, sequela",Y353
"Legal intervention involving other blunt objects, suspect injured, initial encounter",Y353
"Legal intervention involving other blunt objects, suspect injured, subsequent encounter",Y353
"Legal intervention involving other blunt objects, suspect injured, sequela",Y353
"Legal intervention involving unspecified sharp objects, law enforcement official injured, initial encounter",Y354
"Legal intervention involving unspecified sharp objects, law enforcement official injured, subsequent encounter",Y354
"Legal intervention involving unspecified sharp objects, law enforcement official injured, sequela",Y354
"Legal intervention involving unspecified sharp objects, bystander injured, initial encounter",Y354
"Legal intervention involving unspecified sharp objects, bystander injured, subsequent encounter",Y354
"Legal intervention involving unspecified sharp objects, bystander injured, sequela",Y354
"Legal intervention involving unspecified sharp objects, suspect injured, initial encounter",Y354
"Legal intervention involving unspecified sharp objects, suspect injured, subsequent encounter",Y354
"Legal intervention involving unspecified sharp objects, suspect injured, sequela",Y354
"Legal intervention involving bayonet, law enforcement official injured, initial encounter",Y354
"Legal intervention involving bayonet, law enforcement official injured, subsequent encounter",Y354
"Legal intervention involving bayonet, law enforcement official injured, sequela",Y354
"Legal intervention involving bayonet, bystander injured, initial encounter",Y354
"Legal intervention involving bayonet, bystander injured, subsequent encounter",Y354
"Legal intervention involving bayonet, bystander injured, sequela",Y354
"Legal intervention involving bayonet, suspect injured, initial encounter",Y354
"Legal intervention involving bayonet, suspect injured, subsequent encounter",Y354
"Legal intervention involving bayonet, suspect injured, sequela",Y354
"Legal intervention involving other sharp objects, law enforcement official injured, initial encounter",Y354
"Legal intervention involving other sharp objects, law enforcement official injured, subsequent encounter",Y354
"Legal intervention involving other sharp objects, law enforcement official injured, sequela",Y354
"Legal intervention involving other sharp objects, bystander injured, initial encounter",Y354
"Legal intervention involving other sharp objects, bystander injured, subsequent encounter",Y354
"Legal intervention involving other sharp objects, bystander injured, sequela",Y354
"Legal intervention involving other sharp objects, suspect injured, initial encounter",Y354
"Legal intervention involving other sharp objects, suspect injured, subsequent encounter",Y354
"Legal intervention involving other sharp objects, suspect injured, sequela",Y354
"Legal intervention involving manhandling, law enforcement official injured, initial encounter",Y358
"Legal intervention involving manhandling, law enforcement official injured, subsequent encounter",Y358
"Legal intervention involving manhandling, law enforcement official injured, sequela",Y358
"Legal intervention involving manhandling, bystander injured, initial encounter",Y358
"Legal intervention involving manhandling, bystander injured, subsequent encounter",Y358
"Legal intervention involving manhandling, bystander injured, sequela",Y358
"Legal intervention involving manhandling, suspect injured, initial encounter",Y358
"Legal intervention involving manhandling, suspect injured, subsequent encounter",Y358
"Legal intervention involving manhandling, suspect injured, sequela",Y358
"Legal intervention involving other specified means, law enforcement official injured, initial encounter",Y358
"Legal intervention involving other specified means, law enforcement official injured, subsequent encounter",Y358
"Legal intervention involving other specified means, law enforcement official injured, sequela",Y358
"Legal intervention involving other specified means, bystander injured, initial encounter",Y358
"Legal intervention involving other specified means, bystander injured, subsequent encounter",Y358
"Legal intervention involving other specified means, bystander injured, sequela",Y358
"Legal intervention involving other specified means, suspect injured, initial encounter",Y358
"Legal intervention involving other specified means, suspect injured, subsequent encounter",Y358
"Legal intervention involving other specified means, suspect injured, sequela",Y358
"Legal intervention, means unspecified, law enforcement official injured, initial encounter",Y359
"Legal intervention, means unspecified, law enforcement official injured, subsequent encounter",Y359
"Legal intervention, means unspecified, law enforcement official injured, sequela",Y359
"Legal intervention, means unspecified, bystander injured, initial encounter",Y359
"Legal intervention, means unspecified, bystander injured, subsequent encounter",Y359
"Legal intervention, means unspecified, bystander injured, sequela",Y359
"Legal intervention, means unspecified, suspect injured, initial encounter",Y359
"Legal intervention, means unspecified, suspect injured, subsequent encounter",Y359
"Legal intervention, means unspecified, suspect injured, sequela",Y359
"War operations involving explosion of unspecified marine weapon, military personnel, initial encounter",Y360
"War operations involving explosion of unspecified marine weapon, military personnel, subsequent encounter",Y360
"War operations involving explosion of unspecified marine weapon, military personnel, sequela",Y360
"War operations involving explosion of unspecified marine weapon, civilian, initial encounter",Y360
"War operations involving explosion of unspecified marine weapon, civilian, subsequent encounter",Y360
"War operations involving explosion of unspecified marine weapon, civilian, sequela",Y360
"War operations involving explosion of depth-charge, military personnel, initial encounter",Y360
"War operations involving explosion of depth-charge, military personnel, subsequent encounter",Y360
"War operations involving explosion of depth-charge, military personnel, sequela",Y360
"War operations involving explosion of depth-charge, civilian, initial encounter",Y360
"War operations involving explosion of depth-charge, civilian, subsequent encounter",Y360
"War operations involving explosion of depth-charge, civilian, sequela",Y360
"War operations involving explosion of marine mine, military personnel, initial encounter",Y360
"War operations involving explosion of marine mine, military personnel, subsequent encounter",Y360
"War operations involving explosion of marine mine, military personnel, sequela",Y360
"War operations involving explosion of marine mine, civilian, initial encounter",Y360
"War operations involving explosion of marine mine, civilian, subsequent encounter",Y360
"War operations involving explosion of marine mine, civilian, sequela",Y360
"War operations involving explosion of sea-based artillery shell, military personnel, initial encounter",Y360
"War operations involving explosion of sea-based artillery shell, military personnel, subsequent encounter",Y360
"War operations involving explosion of sea-based artillery shell, military personnel, sequela",Y360
"War operations involving explosion of sea-based artillery shell, civilian, initial encounter",Y360
"War operations involving explosion of sea-based artillery shell, civilian, subsequent encounter",Y360
"War operations involving explosion of sea-based artillery shell, civilian, sequela",Y360
"War operations involving explosion of torpedo, military personnel, initial encounter",Y360
"War operations involving explosion of torpedo, military personnel, subsequent encounter",Y360
"War operations involving explosion of torpedo, military personnel, sequela",Y360
"War operations involving explosion of torpedo, civilian, initial encounter",Y360
"War operations involving explosion of torpedo, civilian, subsequent encounter",Y360
"War operations involving explosion of torpedo, civilian, sequela",Y360
"War operations involving accidental detonation of onboard marine weapons, military personnel, initial encounter",Y360
"War operations involving accidental detonation of onboard marine weapons, military personnel, subsequent encounter",Y360
"War operations involving accidental detonation of onboard marine weapons, military personnel, sequela",Y360
"War operations involving accidental detonation of onboard marine weapons, civilian, initial encounter",Y360
"War operations involving accidental detonation of onboard marine weapons, civilian, subsequent encounter",Y360
"War operations involving accidental detonation of onboard marine weapons, civilian, sequela",Y360
"War operations involving explosion of other marine weapons, military personnel, initial encounter",Y360
"War operations involving explosion of other marine weapons, military personnel, subsequent encounter",Y360
"War operations involving explosion of other marine weapons, military personnel, sequela",Y360
"War operations involving explosion of other marine weapons, civilian, initial encounter",Y360
"War operations involving explosion of other marine weapons, civilian, subsequent encounter",Y360
"War operations involving explosion of other marine weapons, civilian, sequela",Y360
"War operations involving unspecified destruction of aircraft, military personnel, initial encounter",Y361
"War operations involving unspecified destruction of aircraft, military personnel, subsequent encounter",Y361
"War operations involving unspecified destruction of aircraft, military personnel, sequela",Y361
"War operations involving unspecified destruction of aircraft, civilian, initial encounter",Y361
"War operations involving unspecified destruction of aircraft, civilian, subsequent encounter",Y361
"War operations involving unspecified destruction of aircraft, civilian, sequela",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, military personnel, initial encounter",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, military personnel, subsequent encounter",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, military personnel, sequela",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, civilian, initial encounter",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, civilian, subsequent encounter",Y361
"War operations involving destruction of aircraft due to enemy fire or explosives, civilian, sequela",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, military personnel, initial encounter",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, military personnel, subsequent encounter",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, military personnel, sequela",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, civilian, initial encounter",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, civilian, subsequent encounter",Y361
"War operations involving destruction of aircraft due to collision with other aircraft, civilian, sequela",Y361
"War operations involving destruction of aircraft due to onboard fire, military personnel, initial encounter",Y361
"War operations involving destruction of aircraft due to onboard fire, military personnel, subsequent encounter",Y361
"War operations involving destruction of aircraft due to onboard fire, military personnel, sequela",Y361
"War operations involving destruction of aircraft due to onboard fire, civilian, initial encounter",Y361
"War operations involving destruction of aircraft due to onboard fire, civilian, subsequent encounter",Y361
"War operations involving destruction of aircraft due to onboard fire, civilian, sequela",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, initial encounter",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, subsequent encounter",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, military personnel, sequela",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, initial encounter",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, subsequent encounter",Y361
"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, sequela",Y361
"War operations involving other destruction of aircraft, military personnel, initial encounter",Y361
"War operations involving other destruction of aircraft, military personnel, subsequent encounter",Y361
"War operations involving other destruction of aircraft, military personnel, sequela",Y361
"War operations involving other destruction of aircraft, civilian, initial encounter",Y361
"War operations involving other destruction of aircraft, civilian, subsequent encounter",Y361
"War operations involving other destruction of aircraft, civilian, sequela",Y361
"War operations involving unspecified explosion and fragments, military personnel, initial encounter",Y362
"War operations involving unspecified explosion and fragments, military personnel, subsequent encounter",Y362
"War operations involving unspecified explosion and fragments, military personnel, sequela",Y362
"War operations involving unspecified explosion and fragments, civilian, initial encounter",Y362
"War operations involving unspecified explosion and fragments, civilian, subsequent encounter",Y362
"War operations involving unspecified explosion and fragments, civilian, sequela",Y362
"War operations involving explosion of aerial bomb, military personnel, initial encounter",Y362
"War operations involving explosion of aerial bomb, military personnel, subsequent encounter",Y362
"War operations involving explosion of aerial bomb, military personnel, sequela",Y362
"War operations involving explosion of aerial bomb, civilian, initial encounter",Y362
"War operations involving explosion of aerial bomb, civilian, subsequent encounter",Y362
"War operations involving explosion of aerial bomb, civilian, sequela",Y362
"War operations involving explosion of guided missile, military personnel, initial encounter",Y362
"War operations involving explosion of guided missile, military personnel, subsequent encounter",Y362
"War operations involving explosion of guided missile, military personnel, sequela",Y362
"War operations involving explosion of guided missile, civilian, initial encounter",Y362
"War operations involving explosion of guided missile, civilian, subsequent encounter",Y362
"War operations involving explosion of guided missile, civilian, sequela",Y362
"War operations involving explosion of improvised explosive device [IED], military personnel, initial encounter",Y362
"War operations involving explosion of improvised explosive device [IED], military personnel, subsequent encounter",Y362
"War operations involving explosion of improvised explosive device [IED], military personnel, sequela",Y362
"War operations involving explosion of improvised explosive device [IED], civilian, initial encounter",Y362
"War operations involving explosion of improvised explosive device [IED], civilian, subsequent encounter",Y362
"War operations involving explosion of improvised explosive device [IED], civilian, sequela",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, military personnel, initial encounter",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, military personnel, subsequent encounter",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, military personnel, sequela",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, civilian, initial encounter",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, civilian, subsequent encounter",Y362
"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, civilian, sequela",Y362
"War operations involving fragments from munitions, military personnel, initial encounter",Y362
"War operations involving fragments from munitions, military personnel, subsequent encounter",Y362
"War operations involving fragments from munitions, military personnel, sequela",Y362
"War operations involving fragments from munitions, civilian, initial encounter",Y362
"War operations involving fragments from munitions, civilian, subsequent encounter",Y362
"War operations involving fragments from munitions, civilian, sequela",Y362
"War operations involving fragments of improvised explosive device [IED], military personnel, initial encounter",Y362
"War operations involving fragments of improvised explosive device [IED], military personnel, subsequent encounter",Y362
"War operations involving fragments of improvised explosive device [IED], military personnel, sequela",Y362
"War operations involving fragments of improvised explosive device [IED], civilian, initial encounter",Y362
"War operations involving fragments of improvised explosive device [IED], civilian, subsequent encounter",Y362
"War operations involving fragments of improvised explosive device [IED], civilian, sequela",Y362
"War operations involving fragments from weapons, military personnel, initial encounter",Y362
"War operations involving fragments from weapons, military personnel, subsequent encounter",Y362
"War operations involving fragments from weapons, military personnel, sequela",Y362
"War operations involving fragments from weapons, civilian, initial encounter",Y362
"War operations involving fragments from weapons, civilian, subsequent encounter",Y362
"War operations involving fragments from weapons, civilian, sequela",Y362
"War operations involving other explosions and fragments, military personnel, initial encounter",Y362
"War operations involving other explosions and fragments, military personnel, subsequent encounter",Y362
"War operations involving other explosions and fragments, military personnel, sequela",Y362
"War operations involving other explosions and fragments, civilian, initial encounter",Y362
"War operations involving other explosions and fragments, civilian, subsequent encounter",Y362
"War operations involving other explosions and fragments, civilian, sequela",Y362
"War operations involving unspecified fire, conflagration and hot substance, military personnel, initial encounter",Y363
"War operations involving unspecified fire, conflagration and hot substance, military personnel, subsequent encounter",Y363
"War operations involving unspecified fire, conflagration and hot substance, military personnel, sequela",Y363
"War operations involving unspecified fire, conflagration and hot substance, civilian, initial encounter",Y363
"War operations involving unspecified fire, conflagration and hot substance, civilian, subsequent encounter",Y363
"War operations involving unspecified fire, conflagration and hot substance, civilian, sequela",Y363
"War operations involving gasoline bomb, military personnel, initial encounter",Y363
"War operations involving gasoline bomb, military personnel, subsequent encounter",Y363
"War operations involving gasoline bomb, military personnel, sequela",Y363
"War operations involving gasoline bomb, civilian, initial encounter",Y363
"War operations involving gasoline bomb, civilian, subsequent encounter",Y363
"War operations involving gasoline bomb, civilian, sequela",Y363
"War operations involving incendiary bullet, military personnel, initial encounter",Y363
"War operations involving incendiary bullet, military personnel, subsequent encounter",Y363
"War operations involving incendiary bullet, military personnel, sequela",Y363
"War operations involving incendiary bullet, civilian, initial encounter",Y363
"War operations involving incendiary bullet, civilian, subsequent encounter",Y363
"War operations involving incendiary bullet, civilian, sequela",Y363
"War operations involving flamethrower, military personnel, initial encounter",Y363
"War operations involving flamethrower, military personnel, subsequent encounter",Y363
"War operations involving flamethrower, military personnel, sequela",Y363
"War operations involving flamethrower, civilian, initial encounter",Y363
"War operations involving flamethrower, civilian, subsequent encounter",Y363
"War operations involving flamethrower, civilian, sequela",Y363
"War operations involving other fires, conflagrations and hot substances, military personnel, initial encounter",Y363
"War operations involving other fires, conflagrations and hot substances, military personnel, subsequent encounter",Y363
"War operations involving other fires, conflagrations and hot substances, military personnel, sequela",Y363
"War operations involving other fires, conflagrations and hot substances, civilian, initial encounter",Y363
"War operations involving other fires, conflagrations and hot substances, civilian, subsequent encounter",Y363
"War operations involving other fires, conflagrations and hot substances, civilian, sequela",Y363
"War operations involving rubber bullets, military personnel, initial encounter",Y364
"War operations involving rubber bullets, military personnel, subsequent encounter",Y364
"War operations involving rubber bullets, military personnel, sequela",Y364
"War operations involving rubber bullets, civilian, initial encounter",Y364
"War operations involving rubber bullets, civilian, subsequent encounter",Y364
"War operations involving rubber bullets, civilian, sequela",Y364
"War operations involving firearms pellets, military personnel, initial encounter",Y364
"War operations involving firearms pellets, military personnel, subsequent encounter",Y364
"War operations involving firearms pellets, military personnel, sequela",Y364
"War operations involving firearms pellets, civilian, initial encounter",Y364
"War operations involving firearms pellets, civilian, subsequent encounter",Y364
"War operations involving firearms pellets, civilian, sequela",Y364
"War operations involving other firearms discharge, military personnel, initial encounter",Y364
"War operations involving other firearms discharge, military personnel, subsequent encounter",Y364
"War operations involving other firearms discharge, military personnel, sequela",Y364
"War operations involving other firearms discharge, civilian, initial encounter",Y364
"War operations involving other firearms discharge, civilian, subsequent encounter",Y364
"War operations involving other firearms discharge, civilian, sequela",Y364
"War operations involving unarmed hand to hand combat, military personnel, initial encounter",Y364
"War operations involving unarmed hand to hand combat, military personnel, subsequent encounter",Y364
"War operations involving unarmed hand to hand combat, military personnel, sequela",Y364
"War operations involving unarmed hand to hand combat, civilian, initial encounter",Y364
"War operations involving unarmed hand to hand combat, civilian, subsequent encounter",Y364
"War operations involving unarmed hand to hand combat, civilian, sequela",Y364
"War operations involving combat using blunt or piercing object, military personnel, initial encounter",Y364
"War operations involving combat using blunt or piercing object, military personnel, subsequent encounter",Y364
"War operations involving combat using blunt or piercing object, military personnel, sequela",Y364
"War operations involving combat using blunt or piercing object, civilian, initial encounter",Y364
"War operations involving combat using blunt or piercing object, civilian, subsequent encounter",Y364
"War operations involving combat using blunt or piercing object, civilian, sequela",Y364
"War operations involving intentional restriction of air and airway, military personnel, initial encounter",Y364
"War operations involving intentional restriction of air and airway, military personnel, subsequent encounter",Y364
"War operations involving intentional restriction of air and airway, military personnel, sequela",Y364
"War operations involving intentional restriction of air and airway, civilian, initial encounter",Y364
"War operations involving intentional restriction of air and airway, civilian, subsequent encounter",Y364
"War operations involving intentional restriction of air and airway, civilian, sequela",Y364
"War operations involving unintentional restriction of air and airway, military personnel, initial encounter",Y364
"War operations involving unintentional restriction of air and airway, military personnel, subsequent encounter",Y364
"War operations involving unintentional restriction of air and airway, military personnel, sequela",Y364
"War operations involving unintentional restriction of air and airway, civilian, initial encounter",Y364
"War operations involving unintentional restriction of air and airway, civilian, subsequent encounter",Y364
"War operations involving unintentional restriction of air and airway, civilian, sequela",Y364
"War operations involving other forms of conventional warfare, military personnel, initial encounter",Y364
"War operations involving other forms of conventional warfare, military personnel, subsequent encounter",Y364
"War operations involving other forms of conventional warfare, military personnel, sequela",Y364
"War operations involving other forms of conventional warfare, civilian, initial encounter",Y364
"War operations involving other forms of conventional warfare, civilian, subsequent encounter",Y364
"War operations involving other forms of conventional warfare, civilian, sequela",Y364
"War operations involving unspecified effect of nuclear weapon, military personnel, initial encounter",Y365
"War operations involving unspecified effect of nuclear weapon, military personnel, subsequent encounter",Y365
"War operations involving unspecified effect of nuclear weapon, military personnel, sequela",Y365
"War operations involving unspecified effect of nuclear weapon, civilian, initial encounter",Y365
"War operations involving unspecified effect of nuclear weapon, civilian, subsequent encounter",Y365
"War operations involving unspecified effect of nuclear weapon, civilian, sequela",Y365
"War operations involving direct blast effect of nuclear weapon, military personnel, initial encounter",Y365
"War operations involving direct blast effect of nuclear weapon, military personnel, subsequent encounter",Y365
"War operations involving direct blast effect of nuclear weapon, military personnel, sequela",Y365
"War operations involving direct blast effect of nuclear weapon, civilian, initial encounter",Y365
"War operations involving direct blast effect of nuclear weapon, civilian, subsequent encounter",Y365
"War operations involving direct blast effect of nuclear weapon, civilian, sequela",Y365
"War operations involving indirect blast effect of nuclear weapon, military personnel, initial encounter",Y365
"War operations involving indirect blast effect of nuclear weapon, military personnel, subsequent encounter",Y365
"War operations involving indirect blast effect of nuclear weapon, military personnel, sequela",Y365
"War operations involving indirect blast effect of nuclear weapon, civilian, initial encounter",Y365
"War operations involving indirect blast effect of nuclear weapon, civilian, subsequent encounter",Y365
"War operations involving indirect blast effect of nuclear weapon, civilian, sequela",Y365
"War operations involving thermal radiation effect of nuclear weapon, military personnel, initial encounter",Y365
"War operations involving thermal radiation effect of nuclear weapon, military personnel, subsequent encounter",Y365
"War operations involving thermal radiation effect of nuclear weapon, military personnel, sequela",Y365
"War operations involving thermal radiation effect of nuclear weapon, civilian, initial encounter",Y365
"War operations involving thermal radiation effect of nuclear weapon, civilian, subsequent encounter",Y365
"War operations involving thermal radiation effect of nuclear weapon, civilian, sequela",Y365
"War operation involving nuclear radiation effects of nuclear weapon, military personnel, initial encounter",Y365
"War operation involving nuclear radiation effects of nuclear weapon, military personnel, subsequent encounter",Y365
"War operation involving nuclear radiation effects of nuclear weapon, military personnel, sequela",Y365
"War operation involving nuclear radiation effects of nuclear weapon, civilian, initial encounter",Y365
"War operation involving nuclear radiation effects of nuclear weapon, civilian, subsequent encounter",Y365
"War operation involving nuclear radiation effects of nuclear weapon, civilian, sequela",Y365
"War operation involving other effects of nuclear weapons, military personnel, initial encounter",Y365
"War operation involving other effects of nuclear weapons, military personnel, subsequent encounter",Y365
"War operation involving other effects of nuclear weapons, military personnel, sequela",Y365
"War operation involving other effects of nuclear weapons, civilian, initial encounter",Y365
"War operation involving other effects of nuclear weapons, civilian, subsequent encounter",Y365
"War operation involving other effects of nuclear weapons, civilian, sequela",Y365
"War operations involving biological weapons, military personnel, initial encounter",Y366
"War operations involving biological weapons, military personnel, subsequent encounter",Y366
"War operations involving biological weapons, military personnel, sequela",Y366
"War operations involving biological weapons, civilian, initial encounter",Y366
"War operations involving biological weapons, civilian, subsequent encounter",Y366
"War operations involving biological weapons, civilian, sequela",Y366
"War operations involving chemical weapons and other forms of unconventional warfare, military personnel, initial encounter",Y367
"War operations involving chemical weapons and other forms of unconventional warfare, military personnel, subsequent encounter",Y367
"War operations involving chemical weapons and other forms of unconventional warfare, military personnel, sequela",Y367
"War operations involving chemical weapons and other forms of unconventional warfare, civilian, initial encounter",Y367
"War operations involving chemical weapons and other forms of unconventional warfare, civilian, subsequent encounter",Y367
"War operations involving chemical weapons and other forms of unconventional warfare, civilian, sequela",Y367
"Explosion of mine placed during war operations but exploding after cessation of hostilities, military personnel, initial encounter",Y368
"Explosion of mine placed during war operations but exploding after cessation of hostilities, military personnel, subsequent encounter",Y368
"Explosion of mine placed during war operations but exploding after cessation of hostilities, military personnel, sequela",Y368
"Explosion of mine placed during war operations but exploding after cessation of hostilities, civilian, initial encounter",Y368
"Explosion of mine placed during war operations but exploding after cessation of hostilities, civilian, subsequent encounter",Y368
"Explosion of mine placed during war operations but exploding after cessation of hostilities, civilian, sequela",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel, initial encounter",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel, subsequent encounter",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel, sequela",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, civilian, initial encounter",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, civilian, subsequent encounter",Y368
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, civilian, sequela",Y368
"Other war operations occurring after cessation of hostilities, military personnel, initial encounter",Y368
"Other war operations occurring after cessation of hostilities, military personnel, subsequent encounter",Y368
"Other war operations occurring after cessation of hostilities, military personnel, sequela",Y368
"Other war operations occurring after cessation of hostilities, civilian, initial encounter",Y368
"Other war operations occurring after cessation of hostilities, civilian, subsequent encounter",Y368
"Other war operations occurring after cessation of hostilities, civilian, sequela",Y368
"Unspecified war operations occurring after cessation of hostilities, military personnel, initial encounter",Y368
"Unspecified war operations occurring after cessation of hostilities, military personnel, subsequent encounter",Y368
"Unspecified war operations occurring after cessation of hostilities, military personnel, sequela",Y368
"Unspecified war operations occurring after cessation of hostilities, civilian, initial encounter",Y368
"Unspecified war operations occurring after cessation of hostilities, civilian, subsequent encounter",Y368
"Unspecified war operations occurring after cessation of hostilities, civilian, sequela",Y368
"War operations, unspecified, initial encounter",Y369
"War operations, unspecified, subsequent encounter",Y369
"War operations, unspecified, sequela",Y369
"War operations involving unspecified weapon of mass destruction [WMD], initial encounter",Y369
"War operations involving unspecified weapon of mass destruction [WMD], subsequent encounter",Y369
"War operations involving unspecified weapon of mass destruction [WMD], sequela",Y369
"War operations involving friendly fire, initial encounter",Y369
"War operations involving friendly fire, subsequent encounter",Y369
"War operations involving friendly fire, sequela",Y369
"Military operations involving explosion of unspecified marine weapon, military personnel, initial encounter",Y370
"Military operations involving explosion of unspecified marine weapon, military personnel, subsequent encounter",Y370
"Military operations involving explosion of unspecified marine weapon, military personnel, sequela",Y370
"Military operations involving explosion of unspecified marine weapon, civilian, initial encounter",Y370
"Military operations involving explosion of unspecified marine weapon, civilian, subsequent encounter",Y370
"Military operations involving explosion of unspecified marine weapon, civilian, sequela",Y370
"Military operations involving explosion of depth-charge, military personnel, initial encounter",Y370
"Military operations involving explosion of depth-charge, military personnel, subsequent encounter",Y370
"Military operations involving explosion of depth-charge, military personnel, sequela",Y370
"Military operations involving explosion of depth-charge, civilian, initial encounter",Y370
"Military operations involving explosion of depth-charge, civilian, subsequent encounter",Y370
"Military operations involving explosion of depth-charge, civilian, sequela",Y370
"Military operations involving explosion of marine mine, military personnel, initial encounter",Y370
"Military operations involving explosion of marine mine, military personnel, subsequent encounter",Y370
"Military operations involving explosion of marine mine, military personnel, sequela",Y370
"Military operations involving explosion of marine mine, civilian, initial encounter",Y370
"Military operations involving explosion of marine mine, civilian, subsequent encounter",Y370
"Military operations involving explosion of marine mine, civilian, sequela",Y370
"Military operations involving explosion of sea-based artillery shell, military personnel, initial encounter",Y370
"Military operations involving explosion of sea-based artillery shell, military personnel, subsequent encounter",Y370
"Military operations involving explosion of sea-based artillery shell, military personnel, sequela",Y370
"Military operations involving explosion of sea-based artillery shell, civilian, initial encounter",Y370
"Military operations involving explosion of sea-based artillery shell, civilian, subsequent encounter",Y370
"Military operations involving explosion of sea-based artillery shell, civilian, sequela",Y370
"Military operations involving explosion of torpedo, military personnel, initial encounter",Y370
"Military operations involving explosion of torpedo, military personnel, subsequent encounter",Y370
"Military operations involving explosion of torpedo, military personnel, sequela",Y370
"Military operations involving explosion of torpedo, civilian, initial encounter",Y370
"Military operations involving explosion of torpedo, civilian, subsequent encounter",Y370
"Military operations involving explosion of torpedo, civilian, sequela",Y370
"Military operations involving accidental detonation of onboard marine weapons, military personnel, initial encounter",Y370
"Military operations involving accidental detonation of onboard marine weapons, military personnel, subsequent encounter",Y370
"Military operations involving accidental detonation of onboard marine weapons, military personnel, sequela",Y370
"Military operations involving accidental detonation of onboard marine weapons, civilian, initial encounter",Y370
"Military operations involving accidental detonation of onboard marine weapons, civilian, subsequent encounter",Y370
"Military operations involving accidental detonation of onboard marine weapons, civilian, sequela",Y370
"Military operations involving explosion of other marine weapons, military personnel, initial encounter",Y370
"Military operations involving explosion of other marine weapons, military personnel, subsequent encounter",Y370
"Military operations involving explosion of other marine weapons, military personnel, sequela",Y370
"Military operations involving explosion of other marine weapons, civilian, initial encounter",Y370
"Military operations involving explosion of other marine weapons, civilian, subsequent encounter",Y370
"Military operations involving explosion of other marine weapons, civilian, sequela",Y370
"Military operations involving unspecified destruction of aircraft, military personnel, initial encounter",Y371
"Military operations involving unspecified destruction of aircraft, military personnel, subsequent encounter",Y371
"Military operations involving unspecified destruction of aircraft, military personnel, sequela",Y371
"Military operations involving unspecified destruction of aircraft, civilian, initial encounter",Y371
"Military operations involving unspecified destruction of aircraft, civilian, subsequent encounter",Y371
"Military operations involving unspecified destruction of aircraft, civilian, sequela",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, military personnel, initial encounter",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, military personnel, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, military personnel, sequela",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, civilian, initial encounter",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, civilian, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to enemy fire or explosives, civilian, sequela",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, military personnel, initial encounter",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, military personnel, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, military personnel, sequela",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, civilian, initial encounter",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, civilian, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to collision with other aircraft, civilian, sequela",Y371
"Military operations involving destruction of aircraft due to onboard fire, military personnel, initial encounter",Y371
"Military operations involving destruction of aircraft due to onboard fire, military personnel, subsequent encounter",Y371
"Military operations involving destruction of aircraft due to onboard fire, military personnel, sequela",Y371
