Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Other nondisplaced fracture of base of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Other nondisplaced fracture of base of first metacarpal bone, left hand, sequela",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, sequela",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, initial encounter for closed fracture",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, initial encounter for open fracture",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of shaft of first metacarpal bone, right hand, sequela",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for closed fracture",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of shaft of first metacarpal bone, left hand, sequela",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of shaft of first metacarpal bone, unspecified hand, sequela",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, initial encounter for open fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, right hand, sequela",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, left hand, sequela",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, sequela",S622
"Displaced fracture of neck of first metacarpal bone, right hand, initial encounter for closed fracture",S622
"Displaced fracture of neck of first metacarpal bone, right hand, initial encounter for open fracture",S622
"Displaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of neck of first metacarpal bone, right hand, sequela",S622
"Displaced fracture of neck of first metacarpal bone, left hand, initial encounter for closed fracture",S622
"Displaced fracture of neck of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Displaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of neck of first metacarpal bone, left hand, sequela",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Displaced fracture of neck of first metacarpal bone, unspecified hand, sequela",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, initial encounter for open fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, right hand, sequela",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, left hand, sequela",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, sequela",S622
"Other fracture of first metacarpal bone, right hand, initial encounter for closed fracture",S622
"Other fracture of first metacarpal bone, right hand, initial encounter for open fracture",S622
"Other fracture of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S622
"Other fracture of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S622
"Other fracture of first metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S622
"Other fracture of first metacarpal bone, right hand, subsequent encounter for fracture with malunion",S622
"Other fracture of first metacarpal bone, right hand, sequela",S622
"Other fracture of first metacarpal bone, left hand, initial encounter for closed fracture",S622
"Other fracture of first metacarpal bone, left hand, initial encounter for open fracture",S622
"Other fracture of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S622
"Other fracture of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S622
"Other fracture of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S622
"Other fracture of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S622
"Other fracture of first metacarpal bone, left hand, sequela",S622
"Other fracture of first metacarpal bone, unspecified hand, initial encounter for closed fracture",S622
"Other fracture of first metacarpal bone, unspecified hand, initial encounter for open fracture",S622
"Other fracture of first metacarpal bone, unspecified hand, subsequent encounter for fracture with routine healing",S622
"Other fracture of first metacarpal bone, unspecified hand, subsequent encounter for fracture with delayed healing",S622
"Other fracture of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S622
"Other fracture of first metacarpal bone, unspecified hand, subsequent encounter for fracture with malunion",S622
"Other fracture of first metacarpal bone, unspecified hand, sequela",S622
"Unspecified fracture of second metacarpal bone, right hand, initial encounter for closed fracture",S623
"Unspecified fracture of second metacarpal bone, right hand, initial encounter for open fracture",S623
"Unspecified fracture of second metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of second metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of second metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of second metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of second metacarpal bone, right hand, sequela",S623
"Unspecified fracture of second metacarpal bone, left hand, initial encounter for closed fracture",S623
"Unspecified fracture of second metacarpal bone, left hand, initial encounter for open fracture",S623
"Unspecified fracture of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of second metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of second metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of second metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of second metacarpal bone, left hand, sequela",S623
"Unspecified fracture of third metacarpal bone, right hand, initial encounter for closed fracture",S623
"Unspecified fracture of third metacarpal bone, right hand, initial encounter for open fracture",S623
"Unspecified fracture of third metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of third metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of third metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of third metacarpal bone, right hand, sequela",S623
"Unspecified fracture of third metacarpal bone, left hand, initial encounter for closed fracture",S623
"Unspecified fracture of third metacarpal bone, left hand, initial encounter for open fracture",S623
"Unspecified fracture of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of third metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of third metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of third metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of third metacarpal bone, left hand, sequela",S623
"Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for open fracture",S623
"Unspecified fracture of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of fourth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of fourth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of fourth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of fourth metacarpal bone, right hand, sequela",S623
"Unspecified fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Unspecified fracture of fourth metacarpal bone, left hand, initial encounter for open fracture",S623
"Unspecified fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of fourth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of fourth metacarpal bone, left hand, sequela",S623
"Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for open fracture",S623
"Unspecified fracture of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of fifth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of fifth metacarpal bone, right hand, sequela",S623
"Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for open fracture",S623
"Unspecified fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of fifth metacarpal bone, left hand, sequela",S623
"Unspecified fracture of other metacarpal bone, initial encounter for closed fracture",S623
"Unspecified fracture of other metacarpal bone, initial encounter for open fracture",S623
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of other metacarpal bone, sequela",S623
"Unspecified fracture of unspecified metacarpal bone, initial encounter for closed fracture",S623
"Unspecified fracture of unspecified metacarpal bone, initial encounter for open fracture",S623
"Unspecified fracture of unspecified metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Unspecified fracture of unspecified metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Unspecified fracture of unspecified metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Unspecified fracture of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S623
"Unspecified fracture of unspecified metacarpal bone, sequela",S623
"Displaced fracture of base of second metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of base of second metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of base of second metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of second metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of second metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of second metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of second metacarpal bone, right hand, sequela",S623
"Displaced fracture of base of second metacarpal bone. left hand, initial encounter for closed fracture",S623
"Displaced fracture of base of second metacarpal bone. left hand, initial encounter for open fracture",S623
"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of second metacarpal bone. left hand, sequela",S623
"Displaced fracture of base of third metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of base of third metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of base of third metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of third metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of third metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of third metacarpal bone, right hand, sequela",S623
"Displaced fracture of base of third metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of base of third metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of base of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of third metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of third metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of third metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of third metacarpal bone, left hand, sequela",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of fourth metacarpal bone, right hand, sequela",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of fourth metacarpal bone, left hand, sequela",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of fifth metacarpal bone, right hand, sequela",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, initial encounter for closed fracture",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, initial encounter for open fracture",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of fifth metacarpal bone. left hand, sequela",S623
"Displaced fracture of base of other metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of base of other metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of base of other metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of other metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of other metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of other metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of other metacarpal bone, sequela",S623
"Displaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of base of unspecified metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of base of unspecified metacarpal bone, sequela",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of second metacarpal bone, right hand, sequela",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of second metacarpal bone, left hand, sequela",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of third metacarpal bone, right hand, sequela",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of third metacarpal bone, left hand, sequela",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of fourth metacarpal bone, right hand, sequela",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of fourth metacarpal bone, left hand, sequela",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of fifth metacarpal bone, right hand, sequela",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for closed fracture",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for open fracture",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of fifth metacarpal bone, left hand, sequela",S623
"Displaced fracture of shaft of other metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of shaft of other metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of shaft of other metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of other metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of other metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of other metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of other metacarpal bone, sequela",S623
"Displaced fracture of shaft of unspecified metacarpal bone, initial encounter for closed fracture",S623
"Displaced fracture of shaft of unspecified metacarpal bone, initial encounter for open fracture",S623
"Displaced fracture of shaft of unspecified metacarpal bone, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of shaft of unspecified metacarpal bone, subsequent encounter for fracture with delayed healing",S623
"Displaced fracture of shaft of unspecified metacarpal bone, subsequent encounter for fracture with nonunion",S623
"Displaced fracture of shaft of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S623
"Displaced fracture of shaft of unspecified metacarpal bone, sequela",S623
"Displaced fracture of neck of second metacarpal bone, right hand, initial encounter for closed fracture",S623
"Displaced fracture of neck of second metacarpal bone, right hand, initial encounter for open fracture",S623
"Displaced fracture of neck of second metacarpal bone, right hand, subsequent encounter for fracture with routine healing",S623
"Displaced fracture of neck of second metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S623
